Symbol
PTC
WELSPUNIND
RAIN
TRENT
SHILPAMED
OBEROIRLTY
BBTC
MFSL
AARTIIND
JKTYRE
MAHABANK
IRCON
RAYMOND
JINDALSAW
INTELLECT
KTKBANK
ADANITRANS
CHAMBLFERT
EDELWEISS
BALMLAWRIE
GICHSGFIN
GODFRYPHLP
IBULISL
FLFL
PNBHOUSING
FSL
SCI
SPARC
NIACL
IRB
ADVENZYMES
APLLTD
SOBHA
STRTECH
ECLERX
CHENNPETRO
DALBHARAT
EXIDEIND
EIDPARRY
JCHAC
JSLHISAR
BAJAJELEC
ADANIPOWER
AVANTI
PHOENIXLTD
PARAGMILK
ABFRLPP
LAXMIMACH
METROPOLIS
TATACOFFEE
HEG
ASHOKA
INOXLEISUR
GESHIP
ITI
VAKRANGEE
TATAINVEST
WOCKPHARMA
CARERATING
ARVIND
RVNL
TTKPRESTIG
ABBOTINDIA
TIMETECHNO
NAM-INDIA
VARROC
GSPL
GLAXO
EPL
ORIENTELEC
IOB
POLYCAB
CAPPL
RAJESHEXPO
FDC
HSCL
ASTERDM
KRBL
JSWENERGY
UCOBANK
JAICORPLTD
WELCORP
BIRLACORPN
REPCOHOME
BLUESTARCO
VGUARD
SUNDRMFAST
TIINDIA
NHPC
SKFINDIA
TATASTEELPP
LAKSHVILAS
VAIBHAVGBL
RITES
CREDITACC
RELINFRA
HUDCO
NESCO
NETWORK18
GUJGAS
OIL
CHOLAHLDNG
BALRAMCHIN
LINDEINDIA
ZYDUSWELL
VSTIND
SFL
WABAG
UFLEX
FINOLEXIND
GALAXYSURF
SUDARSCHEM
HEXAWARE
SUPRAJIT
PRSMJOHNSN
ZENSARTECH
VIPIND
SJVN
GUJALKALI
FORTIS
GREAVESCOT
INFIBEAM
MINDAIND
RELAXO
GICRE
AJANTPHARM
KEC
SUPREMEIND
RESPONIND
MAHINDCIE
EIHOTEL
KNRCON
RADICO
FORCEMOT
GILLETTE
JMFINANCIL
BRIGADE
MEGH
SHK
AIAENG
TIMKEN
SIS
AAVAS
DBL
AEGISLOG
VMART
BDL
PCJEWELLER
LEMONTREE
JAMNAAUTO
J&KBANK
VENKYS
CARBORUNIV
KALPATPOWR*
ERIS
SHRIRAMCIT
IFCI
CROMPTON
TCIEXP
TAKE
GEPIL
GODREJIND
MRPL
DCAL
NLCINDIA
ENDURANCE
KPRMILL
COCHINSHIP
HEIDELBERG
ITDCEM
PNCINFRA
ORIENTCEM
MOIL
SHOPERSTOP
GHCL
MHRIL
OMAXE
SADBHAV
NH
NILKAMAL
GARFIBRES
DCMSHRIRAM
INOXWIND
GMDCLTD
ALLCARGO
STARCEMENT
JAGRAN
SYMPHONY
GRINDWELL
CENTURYPLY
HINDCOPPER
CCL
THERMAX
INDOSTAR
GULFOILLUB
WESTLIFE
MAHLOG
3MINDIA
TNPL
SOLARINDS
JYOTHYLAB
LAOPALA
VRLLOG
TEAMLEASE
MASFIN
FINCABLES
MINDACORP
MAHSEAMLES
NBVENTURES
AKZOINDIA
TVSSRICHAK
SHANKARA
SCHAEFFLER
GDL
MAHSCOOTER
LUXIND
MOTILALOFS
WABCOINDIA
ARVINDFASN
ITDC
HERITGFOOD
TRITURBINE
MMTC
TCNSBRANDS
VTL
TVTODAY
DBCORP
MAHLIFE
GET&D
RATNAMANI
CENTRUM
CERA
